"","Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"7833","NUS1",1481.64786823496,-0.320146080127297,0.323678721316841,-0.989085964084472,0.322621084273649,0.999993603917205,"116150"
"7834","NUSAP1",97.8878004466893,0.610637969659169,0.621361287087951,0.982742218333173,0.325734326530081,0.999993603917205,"51203"
"7835","NUTF2",582.431989321187,0.424309014836916,0.372466461245499,1.13918717249886,0.254625094631949,0.999993603917205,"10204"
"7836","NUTM1",4.16440620897637,0.0558141746861713,1.84287244981644,0.0302865098947736,0.975838555183026,0.999993603917205,"256646"
"7837","NUTM2A",33.387398422711,-0.0375057566457993,0.683826477562057,-0.0548468915382056,0.95626044255357,0.999993603917205,"728118"
"7838","NUTM2B",24.932689971234,-0.315966004199965,0.796805777830035,-0.396540804536389,0.691706111996656,0.999993603917205,"729262"
"7839","NUTM2D",48.5837677735892,0.377822853777928,0.521893517110244,0.72394624840323,0.469098735267711,0.999993603917205,"728130"
"7840","NUTM2E",1.74226731228704,0.694344230034518,2.249752735103,0.308631352770743,0.757601968349837,0.999993603917205,"283008"
"7841","NUTM2F",10.5430726524435,1.32414980854622,1.20016819836517,1.10330352891364,0.269895374642838,0.999993603917205,"54754"
"7842","NUTM2G",74.2098826447175,0.0696138142185315,0.405131450024036,0.171830190458927,0.863571029963651,0.999993603917205,"441457"
"7843","NVL",428.324515004567,0.0456853648271558,0.268291767469131,0.170282395386628,0.864788055512334,0.999993603917205,"4931"
"7844","NXF1",3002.20970176854,-0.0135507704582169,0.31875080975957,-0.0425121130466713,0.966090455665969,0.999993603917205,"10482"
"7845","NXN",5.72142905836519,0.639750613508662,1.27480149143418,0.50184332055411,0.615777737625533,0.999993603917205,"64359"
"7846","NXPE1",1.30578219581734,-3.83194364320731,3.94082820327316,-0.972370132761581,0.33086644498497,0.999993603917205,"120400"
"7847","NXPE3",1555.70755563777,-0.184859705775029,0.288356471224335,-0.641080482744609,0.521470394006482,0.999993603917205,"91775"
"7848","NXPH3",1.6175079963236,3.02952411694391,2.48752831535907,1.21788527923012,0.223267571020623,0.999993603917205,"11248"
"7849","NXPH4",3.41968007764318,-0.82102362902768,2.38602610251467,-0.344096666906699,0.7307735894539,0.999993603917205,"11247"
"7850","NXT1",204.916287054111,0.158552700229947,0.344121603186818,0.460746139625157,0.644980747914775,0.999993603917205,"29107"
"7851","NXT2",423.311965957243,-0.360108350793606,0.338878368113372,-1.06264779542709,0.287941703480469,0.999993603917205,"55916"
"7852","NYAP1",1.95764095191079,0.113230862934911,2.39644943922039,0.047249427040592,0.962314434402318,0.999993603917205,"222950"
"7853","NYAP2",1.09822827580265,0.398121720901921,2.81984433793818,0.141185708567524,0.887723235892648,0.999993603917205,"57624"
"7854","NYNRIN",5.90182884467636,-2.26258859736628,1.81808155681257,-1.24449235453057,0.213318411478261,0.999993603917205,"57523"
"7855","OAF",18.2840538586285,0.566666942724157,0.89207562558777,0.635222986112631,0.525282993728837,0.999993603917205,"220323"
"7856","OARD1",545.57844207908,0.214642157637334,0.273541539042534,0.784678474752453,0.43264210637351,0.999993603917205,"221443"
"7857","OAS1",528.344300326986,0.242834113412965,0.295389008749165,0.822082427647713,0.411029985835299,0.999993603917205,"4938"
"7858","OAS2",3544.15565885916,-0.225305630951018,0.299335112072157,-0.752686944713343,0.451638056925718,0.999993603917205,"4939"
"7859","OAS3",1912.10484903128,0.0330142046157871,0.316229869937327,0.104399387136737,0.916852409019696,0.999993603917205,"4940"
"7860","OASL",599.82827021889,0.143959811122671,0.256524694385327,0.561192798485234,0.574666111758548,0.999993603917205,"8638"
"7861","OAT",640.232865943603,-0.000305497761769978,0.306325487501873,-0.000997297888142949,0.999204271544435,0.999993603917205,"4942"
